model,quantization,average,degradation_pct,size_b,timestamp
gemma-3-270m-it,int8,0.30755806524404133,-9.65583123666063,0.27,2025-11-30T05-52-04.369822
gemma-3-270m-it,fp8,0.3006310265000141,-11.690626054426218,0.27,2026-01-07T07-39-22.039694
gemma-3-270m-it,awq,0.3006310265000141,-11.690626054426218,0.27,2026-01-07T06-50-22.376307
gemma-3-270m-it,float16,0.3006310265000141,-11.690626054426218,0.27,2025-12-08T04-05-30.384239
gemma-3-270m-it,int4,0.3006310265000141,-11.690626054426218,0.27,2025-11-30T04-09-28.442768
gemma-3-270m-it,gguf,0.29581626404378986,-13.104946669154241,0.27,2025-12-08T04-40-16.085088
gemma-3-27b-it,bfloat16,0.6925081992710134,0.0,27.0,2025-11-30T08-22-06.436475
gemma-3-27b-it,int8,0.3075572021364833,-55.58793347714275,27.0,2025-11-30T23-21-04.122912
gemma-3-27b-it,int4,0.3006310265000141,-56.58809140216952,27.0,2025-11-30T15-01-37.565444
gemma-3-27b-it,float16,0.3006310265000141,-56.58809140216952,27.0,2025-11-30T10-58-59.870778
gemma-3-4b-it,float16,0.5900276706105425,0.0,4.0,2025-12-08T07-09-42.731917
gemma-3-4b-it,bfloat16,0.5900276706105425,0.0,4.0,2025-12-08T06-11-37.351859
gemma-3-4b-it,gguf,0.43007157180728245,-27.109931749089395,4.0,2025-12-08T08-25-55.861416
gemma-3-4b-it,int8,0.3087843530721519,-47.66612339508902,4.0,2025-12-01T08-44-50.372480
gemma-3-4b-it,int4,0.3006310265000141,-49.04797834499349,4.0,2025-12-01T04-25-52.559091
gpt-oss-20b,fp8,0.5305658246592668,1.2904613881618405,20.0,2026-01-07T15-16-55.634721
gpt-oss-20b,float16,0.5238387394265859,0.006191773824473668,20.0,2025-12-08T12-27-36.654006
gpt-oss-20b,bfloat16,0.5238063065248075,0.0,20.0,2025-12-08T11-43-13.487823
gpt-oss-20b,int4,0.29690084358168783,-43.31858171936184,20.0,2026-01-07T16-27-02.566037
gpt-oss-20b,int8,0.29536135412253145,-43.612486057660114,20.0,2026-01-07T18-24-40.066629
