scope,layer,mean,std,low_entropy_frac,method,model
layer,23,0.7751484,,1.0,hqq,google_gemma-3-12b-it
layer,24,0.20871595,,1.0,hqq,google_gemma-3-12b-it
layer,25,0.10805326,,1.0,hqq,google_gemma-3-12b-it
layer,26,0.11568171,,1.0,hqq,google_gemma-3-12b-it
layer,27,0.18378076,,1.0,hqq,google_gemma-3-12b-it
layer,28,0.1588512,,1.0,hqq,google_gemma-3-12b-it
layer,29,1.0543054,,0.375,hqq,google_gemma-3-12b-it
layer,30,0.14281997,,1.0,hqq,google_gemma-3-12b-it
layer,31,0.08673154,,1.0,hqq,google_gemma-3-12b-it
layer,32,0.10738678,,1.0,hqq,google_gemma-3-12b-it
layer,33,0.14591393,,1.0,hqq,google_gemma-3-12b-it
layer,34,0.10146371,,1.0,hqq,google_gemma-3-12b-it
layer,35,0.41694057,,1.0,hqq,google_gemma-3-12b-it
layer,36,0.07918522,,1.0,hqq,google_gemma-3-12b-it
layer,37,0.06977911,,1.0,hqq,google_gemma-3-12b-it
layer,38,0.09118571,,1.0,hqq,google_gemma-3-12b-it
layer,39,0.0796371,,1.0,hqq,google_gemma-3-12b-it
layer,40,0.07557589,,1.0,hqq,google_gemma-3-12b-it
layer,41,0.76666236,,0.9375,hqq,google_gemma-3-12b-it
layer,42,0.08038186,,1.0,hqq,google_gemma-3-12b-it
layer,43,0.29964143,,1.0,hqq,google_gemma-3-12b-it
layer,44,0.08251491,,1.0,hqq,google_gemma-3-12b-it
layer,45,0.047503017,,1.0,hqq,google_gemma-3-12b-it
layer,46,0.1596367,,1.0,hqq,google_gemma-3-12b-it
layer,47,0.1471926,,1.0,hqq,google_gemma-3-12b-it
global,-1,0.14083596,0.2044687867164611,0.9869791666666666,fp8,google_gemma-3-12b-it
layer,0,0.015446959,,1.0,fp8,google_gemma-3-12b-it
layer,1,0.018382803,,1.0,fp8,google_gemma-3-12b-it
layer,2,0.03901474,,1.0,fp8,google_gemma-3-12b-it
layer,3,0.016615927,,1.0,fp8,google_gemma-3-12b-it
layer,4,0.016620383,,1.0,fp8,google_gemma-3-12b-it
layer,5,0.033491477,,1.0,fp8,google_gemma-3-12b-it
layer,6,0.018629823,,1.0,fp8,google_gemma-3-12b-it
layer,7,0.018808367,,1.0,fp8,google_gemma-3-12b-it
layer,8,0.0155155435,,1.0,fp8,google_gemma-3-12b-it
layer,9,0.031371597,,1.0,fp8,google_gemma-3-12b-it
layer,10,0.028392598,,1.0,fp8,google_gemma-3-12b-it
layer,11,0.04890036,,1.0,fp8,google_gemma-3-12b-it
layer,12,0.029623486,,1.0,fp8,google_gemma-3-12b-it
layer,13,0.037470393,,1.0,fp8,google_gemma-3-12b-it
layer,14,0.024806023,,1.0,fp8,google_gemma-3-12b-it
layer,15,0.022822382,,1.0,fp8,google_gemma-3-12b-it
layer,16,0.04494248,,1.0,fp8,google_gemma-3-12b-it
layer,17,0.15475136,,1.0,fp8,google_gemma-3-12b-it
layer,18,0.15375131,,1.0,fp8,google_gemma-3-12b-it
layer,19,0.10030836,,1.0,fp8,google_gemma-3-12b-it
layer,20,0.07466968,,1.0,fp8,google_gemma-3-12b-it
layer,21,0.05794753,,1.0,fp8,google_gemma-3-12b-it
layer,22,0.123925455,,1.0,fp8,google_gemma-3-12b-it
layer,23,0.75649405,,1.0,fp8,google_gemma-3-12b-it
layer,24,0.19446939,,1.0,fp8,google_gemma-3-12b-it
layer,25,0.10750439,,1.0,fp8,google_gemma-3-12b-it
layer,26,0.120526955,,1.0,fp8,google_gemma-3-12b-it
layer,27,0.17978147,,1.0,fp8,google_gemma-3-12b-it
layer,28,0.14842324,,1.0,fp8,google_gemma-3-12b-it
layer,29,1.009721,,0.4375,fp8,google_gemma-3-12b-it
layer,30,0.14478509,,1.0,fp8,google_gemma-3-12b-it
layer,31,0.08944259,,1.0,fp8,google_gemma-3-12b-it
layer,32,0.11297365,,1.0,fp8,google_gemma-3-12b-it
layer,33,0.15976715,,1.0,fp8,google_gemma-3-12b-it
layer,34,0.10072917,,1.0,fp8,google_gemma-3-12b-it
layer,35,0.43847382,,1.0,fp8,google_gemma-3-12b-it
layer,36,0.07914317,,1.0,fp8,google_gemma-3-12b-it
layer,37,0.08082983,,1.0,fp8,google_gemma-3-12b-it
layer,38,0.092693865,,1.0,fp8,google_gemma-3-12b-it
layer,39,0.08850782,,1.0,fp8,google_gemma-3-12b-it
layer,40,0.083366655,,1.0,fp8,google_gemma-3-12b-it
layer,41,0.7743163,,0.9375,fp8,google_gemma-3-12b-it
layer,42,0.086687505,,1.0,fp8,google_gemma-3-12b-it
layer,43,0.3183022,,1.0,fp8,google_gemma-3-12b-it
layer,44,0.09832111,,1.0,fp8,google_gemma-3-12b-it
layer,45,0.05084142,,1.0,fp8,google_gemma-3-12b-it
layer,46,0.16447602,,1.0,fp8,google_gemma-3-12b-it
layer,47,0.15333909,,1.0,fp8,google_gemma-3-12b-it
global,-1,3.6167133,7.152557373046875e-07,0.0,int4,google_gemma-3-12b-it
layer,0,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,1,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,2,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,3,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,4,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,5,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,6,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,7,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,8,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,9,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,10,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,11,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,12,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,13,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,14,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,15,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,16,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,17,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,18,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,19,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,20,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,21,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,22,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,23,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,24,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,25,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,26,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,27,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,28,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,29,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,30,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,31,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,32,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,33,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,34,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,35,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,36,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,37,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,38,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,39,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,40,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,41,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,42,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,43,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,44,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,45,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,46,3.6167126,,0.0,int4,google_gemma-3-12b-it
layer,47,3.6167126,,0.0,int4,google_gemma-3-12b-it
global,-1,0.13418053,0.1945046335458755,0.98828125,float16,google_gemma-3-12b-it
layer,0,0.015998794,,1.0,float16,google_gemma-3-12b-it
layer,1,0.02020656,,1.0,float16,google_gemma-3-12b-it
layer,2,0.038380053,,1.0,float16,google_gemma-3-12b-it
layer,3,0.015560026,,1.0,float16,google_gemma-3-12b-it
layer,4,0.016749661,,1.0,float16,google_gemma-3-12b-it
layer,5,0.031218078,,1.0,float16,google_gemma-3-12b-it
layer,6,0.018533507,,1.0,float16,google_gemma-3-12b-it
layer,7,0.020411264,,1.0,float16,google_gemma-3-12b-it
layer,8,0.014128332,,1.0,float16,google_gemma-3-12b-it
layer,9,0.03101258,,1.0,float16,google_gemma-3-12b-it
layer,10,0.0272462,,1.0,float16,google_gemma-3-12b-it
layer,11,0.048048995,,1.0,float16,google_gemma-3-12b-it
layer,12,0.0257259,,1.0,float16,google_gemma-3-12b-it
layer,13,0.036172986,,1.0,float16,google_gemma-3-12b-it
layer,14,0.021646593,,1.0,float16,google_gemma-3-12b-it
layer,15,0.024722008,,1.0,float16,google_gemma-3-12b-it
layer,16,0.045260165,,1.0,float16,google_gemma-3-12b-it
layer,17,0.14865135,,1.0,float16,google_gemma-3-12b-it
layer,18,0.15605104,,1.0,float16,google_gemma-3-12b-it
layer,19,0.0983984,,1.0,float16,google_gemma-3-12b-it
layer,20,0.0714529,,1.0,float16,google_gemma-3-12b-it
layer,21,0.061213143,,1.0,float16,google_gemma-3-12b-it
layer,22,0.12374693,,1.0,float16,google_gemma-3-12b-it
layer,23,0.740079,,1.0,float16,google_gemma-3-12b-it
layer,24,0.1920965,,1.0,float16,google_gemma-3-12b-it
layer,25,0.09935625,,1.0,float16,google_gemma-3-12b-it
layer,26,0.12065087,,1.0,float16,google_gemma-3-12b-it
layer,27,0.17146394,,1.0,float16,google_gemma-3-12b-it
layer,28,0.14791837,,1.0,float16,google_gemma-3-12b-it
layer,29,0.9843568,,0.5,float16,google_gemma-3-12b-it
layer,30,0.1402362,,1.0,float16,google_gemma-3-12b-it
layer,31,0.086411744,,1.0,float16,google_gemma-3-12b-it
layer,32,0.099225834,,1.0,float16,google_gemma-3-12b-it
layer,33,0.15479141,,1.0,float16,google_gemma-3-12b-it
layer,34,0.10073449,,1.0,float16,google_gemma-3-12b-it
layer,35,0.428816,,1.0,float16,google_gemma-3-12b-it
layer,36,0.08206959,,1.0,float16,google_gemma-3-12b-it
layer,37,0.07382872,,1.0,float16,google_gemma-3-12b-it
layer,38,0.08606486,,1.0,float16,google_gemma-3-12b-it
layer,39,0.076957226,,1.0,float16,google_gemma-3-12b-it
layer,40,0.07262706,,1.0,float16,google_gemma-3-12b-it
layer,41,0.6744621,,0.9375,float16,google_gemma-3-12b-it
layer,42,0.08157709,,1.0,float16,google_gemma-3-12b-it
layer,43,0.27977368,,1.0,float16,google_gemma-3-12b-it
layer,44,0.08736205,,1.0,float16,google_gemma-3-12b-it
layer,45,0.049131997,,1.0,float16,google_gemma-3-12b-it
layer,46,0.1609297,,1.0,float16,google_gemma-3-12b-it
layer,47,0.13920829,,1.0,float16,google_gemma-3-12b-it
global,-1,3.6167133,7.152557373046875e-07,0.0,int8,google_gemma-3-12b-it
layer,0,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,1,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,2,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,3,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,4,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,5,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,6,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,7,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,8,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,9,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,10,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,11,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,12,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,13,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,14,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,15,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,16,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,17,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,18,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,19,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,20,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,21,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,22,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,23,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,24,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,25,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,26,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,27,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,28,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,29,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,30,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,31,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,32,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,33,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,34,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,35,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,36,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,37,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,38,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,39,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,40,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,41,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,42,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,43,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,44,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,45,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,46,3.6167126,,0.0,int8,google_gemma-3-12b-it
layer,47,3.6167126,,0.0,int8,google_gemma-3-12b-it
global,-1,0.16790895,0.23666912317276,0.9765625,gptq,google_gemma-3-12b-it
layer,0,0.014714873,,1.0,gptq,google_gemma-3-12b-it
layer,1,0.019248277,,1.0,gptq,google_gemma-3-12b-it
layer,2,0.037172586,,1.0,gptq,google_gemma-3-12b-it
layer,3,0.015968274,,1.0,gptq,google_gemma-3-12b-it
layer,4,0.020244358,,1.0,gptq,google_gemma-3-12b-it
layer,5,0.03415838,,1.0,gptq,google_gemma-3-12b-it
layer,6,0.018638603,,1.0,gptq,google_gemma-3-12b-it
layer,7,0.020359144,,1.0,gptq,google_gemma-3-12b-it
layer,8,0.0145216305,,1.0,gptq,google_gemma-3-12b-it
layer,9,0.030423727,,1.0,gptq,google_gemma-3-12b-it
layer,10,0.028532293,,1.0,gptq,google_gemma-3-12b-it
layer,11,0.051470697,,1.0,gptq,google_gemma-3-12b-it
layer,12,0.029325169,,1.0,gptq,google_gemma-3-12b-it
layer,13,0.03661207,,1.0,gptq,google_gemma-3-12b-it
layer,14,0.022698266,,1.0,gptq,google_gemma-3-12b-it
layer,15,0.025717068,,1.0,gptq,google_gemma-3-12b-it
layer,16,0.048139147,,1.0,gptq,google_gemma-3-12b-it
layer,17,0.15328443,,1.0,gptq,google_gemma-3-12b-it
layer,18,0.16110408,,1.0,gptq,google_gemma-3-12b-it
layer,19,0.105692685,,1.0,gptq,google_gemma-3-12b-it
layer,20,0.078372136,,1.0,gptq,google_gemma-3-12b-it
layer,21,0.06792529,,1.0,gptq,google_gemma-3-12b-it
layer,22,0.13318089,,1.0,gptq,google_gemma-3-12b-it
layer,23,0.83412194,,0.9375,gptq,google_gemma-3-12b-it
layer,24,0.22422476,,1.0,gptq,google_gemma-3-12b-it
layer,25,0.11227621,,1.0,gptq,google_gemma-3-12b-it
layer,26,0.15028173,,1.0,gptq,google_gemma-3-12b-it
layer,27,0.20804092,,1.0,gptq,google_gemma-3-12b-it
layer,28,0.18379182,,1.0,gptq,google_gemma-3-12b-it
layer,29,1.1385486,,0.25,gptq,google_gemma-3-12b-it
layer,30,0.1609244,,1.0,gptq,google_gemma-3-12b-it
layer,31,0.11637145,,1.0,gptq,google_gemma-3-12b-it
layer,32,0.13323206,,1.0,gptq,google_gemma-3-12b-it
layer,33,0.20586976,,1.0,gptq,google_gemma-3-12b-it
layer,34,0.14688139,,1.0,gptq,google_gemma-3-12b-it
layer,35,0.6171724,,1.0,gptq,google_gemma-3-12b-it
layer,36,0.108896025,,1.0,gptq,google_gemma-3-12b-it
layer,37,0.10413361,,1.0,gptq,google_gemma-3-12b-it
layer,38,0.12323569,,1.0,gptq,google_gemma-3-12b-it
layer,39,0.11423902,,1.0,gptq,google_gemma-3-12b-it
layer,40,0.10625401,,1.0,gptq,google_gemma-3-12b-it
layer,41,0.8215626,,0.6875,gptq,google_gemma-3-12b-it
layer,42,0.12198724,,1.0,gptq,google_gemma-3-12b-it
layer,43,0.40309924,,1.0,gptq,google_gemma-3-12b-it
layer,44,0.13668919,,1.0,gptq,google_gemma-3-12b-it
layer,45,0.07913509,,1.0,gptq,google_gemma-3-12b-it
layer,46,0.27219278,,1.0,gptq,google_gemma-3-12b-it
layer,47,0.26896366,,1.0,gptq,google_gemma-3-12b-it
global,-1,0.21800439,0.2588100731372833,0.9705882352941176,bfloat16,google_gemma-3-4b-it
layer,0,0.029548086,,1.0,bfloat16,google_gemma-3-4b-it
layer,1,0.020985628,,1.0,bfloat16,google_gemma-3-4b-it
layer,2,0.022264093,,1.0,bfloat16,google_gemma-3-4b-it
layer,3,0.021899365,,1.0,bfloat16,google_gemma-3-4b-it
layer,4,0.03479654,,1.0,bfloat16,google_gemma-3-4b-it
layer,5,0.08287198,,1.0,bfloat16,google_gemma-3-4b-it
layer,6,0.034518354,,1.0,bfloat16,google_gemma-3-4b-it
layer,7,0.022569641,,1.0,bfloat16,google_gemma-3-4b-it
layer,8,0.024914365,,1.0,bfloat16,google_gemma-3-4b-it
layer,9,0.04997167,,1.0,bfloat16,google_gemma-3-4b-it
layer,10,0.042958282,,1.0,bfloat16,google_gemma-3-4b-it
