layer,kl_mean,kl_std,method,model
5,20.030933,0.95307386,int4,google_gemma-3-12b-it
6,20.038973,0.85410714,int4,google_gemma-3-12b-it
7,19.99483,0.8883785,int4,google_gemma-3-12b-it
8,19.992407,0.89769435,int4,google_gemma-3-12b-it
9,19.983576,0.76594,int4,google_gemma-3-12b-it
10,20.024076,0.8255488,int4,google_gemma-3-12b-it
11,20.012304,0.8377441,int4,google_gemma-3-12b-it
12,19.987001,0.8576415,int4,google_gemma-3-12b-it
13,19.984604,0.75090027,int4,google_gemma-3-12b-it
14,19.9839,0.9426968,int4,google_gemma-3-12b-it
15,20.001507,1.0501162,int4,google_gemma-3-12b-it
16,19.987097,1.1288517,int4,google_gemma-3-12b-it
17,19.953753,1.0539074,int4,google_gemma-3-12b-it
18,19.912731,1.140561,int4,google_gemma-3-12b-it
19,19.84639,1.078748,int4,google_gemma-3-12b-it
20,19.820856,1.0338893,int4,google_gemma-3-12b-it
21,19.801758,0.91602653,int4,google_gemma-3-12b-it
22,19.774372,1.0050986,int4,google_gemma-3-12b-it
23,19.838537,0.732042,int4,google_gemma-3-12b-it
24,19.709038,0.77962744,int4,google_gemma-3-12b-it
25,19.6876,0.86078507,int4,google_gemma-3-12b-it
26,19.584631,0.80203426,int4,google_gemma-3-12b-it
27,19.549524,0.81744945,int4,google_gemma-3-12b-it
28,19.601707,0.6980934,int4,google_gemma-3-12b-it
29,19.575352,0.650312,int4,google_gemma-3-12b-it
30,19.541245,0.64634293,int4,google_gemma-3-12b-it
31,19.533216,0.5923201,int4,google_gemma-3-12b-it
32,19.512987,0.5857467,int4,google_gemma-3-12b-it
33,19.514484,0.5941485,int4,google_gemma-3-12b-it
34,19.508287,0.5906671,int4,google_gemma-3-12b-it
35,19.521954,0.59804153,int4,google_gemma-3-12b-it
36,19.513306,0.5957459,int4,google_gemma-3-12b-it
37,19.517038,0.59435475,int4,google_gemma-3-12b-it
38,19.51557,0.5933843,int4,google_gemma-3-12b-it
39,19.517569,0.60261434,int4,google_gemma-3-12b-it
40,19.533129,0.60928667,int4,google_gemma-3-12b-it
41,19.57533,0.60441,int4,google_gemma-3-12b-it
42,19.593962,0.6113424,int4,google_gemma-3-12b-it
43,19.59094,0.6979489,int4,google_gemma-3-12b-it
44,19.62238,0.7583901,int4,google_gemma-3-12b-it
45,19.618988,0.85351485,int4,google_gemma-3-12b-it
46,19.65048,0.9305841,int4,google_gemma-3-12b-it
47,19.661366,1.2356184,int4,google_gemma-3-12b-it
0,19.057344,3.2657967,float16,google_gemma-3-12b-it
1,19.287455,3.092083,float16,google_gemma-3-12b-it
2,19.160582,3.211383,float16,google_gemma-3-12b-it
3,18.33746,3.888735,float16,google_gemma-3-12b-it
4,18.493334,3.8588676,float16,google_gemma-3-12b-it
5,18.74661,3.2511907,float16,google_gemma-3-12b-it
6,18.64157,3.4392893,float16,google_gemma-3-12b-it
7,18.28102,3.7736056,float16,google_gemma-3-12b-it
8,18.396692,3.606795,float16,google_gemma-3-12b-it
9,18.470915,3.540717,float16,google_gemma-3-12b-it
10,18.476652,3.6119606,float16,google_gemma-3-12b-it
11,18.409595,3.6070797,float16,google_gemma-3-12b-it
12,18.448648,3.573112,float16,google_gemma-3-12b-it
13,18.492907,3.3934908,float16,google_gemma-3-12b-it
14,18.59953,3.4022415,float16,google_gemma-3-12b-it
15,17.921259,4.2685113,float16,google_gemma-3-12b-it
16,18.094448,4.0693493,float16,google_gemma-3-12b-it
17,17.846544,4.2518277,float16,google_gemma-3-12b-it
18,17.483208,4.465454,float16,google_gemma-3-12b-it
19,17.432304,4.1806855,float16,google_gemma-3-12b-it
20,17.21551,4.1816616,float16,google_gemma-3-12b-it
21,16.869509,4.289348,float16,google_gemma-3-12b-it
22,16.147669,4.518581,float16,google_gemma-3-12b-it
23,14.00271,5.6235056,float16,google_gemma-3-12b-it
24,13.456182,5.248336,float16,google_gemma-3-12b-it
25,13.046369,5.2979565,float16,google_gemma-3-12b-it
26,12.561373,4.9344535,float16,google_gemma-3-12b-it
27,12.180333,4.826305,float16,google_gemma-3-12b-it
28,11.704745,5.16116,float16,google_gemma-3-12b-it
29,11.566256,4.9698243,float16,google_gemma-3-12b-it
30,11.219475,4.9006076,float16,google_gemma-3-12b-it
31,10.826278,4.7550893,float16,google_gemma-3-12b-it
32,10.164903,4.710278,float16,google_gemma-3-12b-it
33,10.3272915,4.752621,float16,google_gemma-3-12b-it
34,10.154115,4.746257,float16,google_gemma-3-12b-it
35,10.0106325,4.8738866,float16,google_gemma-3-12b-it
36,10.016316,4.907446,float16,google_gemma-3-12b-it
37,10.017644,4.847994,float16,google_gemma-3-12b-it
38,9.761691,4.732979,float16,google_gemma-3-12b-it
39,10.100573,4.805946,float16,google_gemma-3-12b-it
40,9.722789,4.856579,float16,google_gemma-3-12b-it
41,10.183353,5.0137634,float16,google_gemma-3-12b-it
42,10.1600895,5.089813,float16,google_gemma-3-12b-it
43,10.117957,5.0004,float16,google_gemma-3-12b-it
44,9.8713455,5.01838,float16,google_gemma-3-12b-it
45,10.04997,5.0215626,float16,google_gemma-3-12b-it
46,10.198336,5.095928,float16,google_gemma-3-12b-it
47,10.7454,5.293249,float16,google_gemma-3-12b-it
0,20.166162,0.59195095,int8,google_gemma-3-12b-it
1,20.17908,0.6095415,int8,google_gemma-3-12b-it
2,20.14124,0.8091018,int8,google_gemma-3-12b-it
3,20.084806,0.8776723,int8,google_gemma-3-12b-it
4,20.09405,0.9304189,int8,google_gemma-3-12b-it
5,20.030933,0.95307386,int8,google_gemma-3-12b-it
6,20.038973,0.85410714,int8,google_gemma-3-12b-it
7,19.99483,0.8883785,int8,google_gemma-3-12b-it
8,19.992407,0.89769435,int8,google_gemma-3-12b-it
9,19.983576,0.76594,int8,google_gemma-3-12b-it
10,20.024076,0.8255488,int8,google_gemma-3-12b-it
11,20.012304,0.8377441,int8,google_gemma-3-12b-it
12,19.987001,0.8576415,int8,google_gemma-3-12b-it
13,19.984604,0.75090027,int8,google_gemma-3-12b-it
14,19.9839,0.9426968,int8,google_gemma-3-12b-it
15,20.001507,1.0501162,int8,google_gemma-3-12b-it
16,19.987097,1.1288517,int8,google_gemma-3-12b-it
17,19.953753,1.0539074,int8,google_gemma-3-12b-it
18,19.912731,1.140561,int8,google_gemma-3-12b-it
19,19.84639,1.078748,int8,google_gemma-3-12b-it
20,19.820856,1.0338893,int8,google_gemma-3-12b-it
21,19.801758,0.91602653,int8,google_gemma-3-12b-it
22,19.774372,1.0050986,int8,google_gemma-3-12b-it
23,19.838537,0.732042,int8,google_gemma-3-12b-it
24,19.709038,0.77962744,int8,google_gemma-3-12b-it
25,19.6876,0.86078507,int8,google_gemma-3-12b-it
26,19.584631,0.80203426,int8,google_gemma-3-12b-it
27,19.549524,0.81744945,int8,google_gemma-3-12b-it
28,19.601707,0.6980934,int8,google_gemma-3-12b-it
